title,score,time
"The Greatest Leap, part 5: Saving the crew of Apollo 13",590 points,3 days ago
Ask HN: Who is hiring? (March 2018),194 points,7 days ago
RIP Cert.org,6 points,4 days ago
Inside Google’s plan to make the whole web as fast as AMP,26 points,15 hours ago
Prisma Cloud – A GraphQL Database Platform,332 points,2 days ago
The Lottery Hackers,6 points,5 days ago
Top 4 Strategies Consultants and Freelancers Use to Earn More Money,77 points,1 day ago
Youngsters keeping traditional trades alive,246 points,3 days ago
Show HN: Emacs Anywhere,9 points,4 days ago
Galera Cluster for MySQL: The True Multi-Master,109 points,2 days ago
Stigler Diet,110 points,3 days ago
An iOS App in Assembly (2014),3 points,3 days ago
"Bones on Pacific island belong to Amelia Earhart, a new forensic analysis claims",3 points,16 hours ago
Energy harvester collects energy from sunlight and raindrops,275 points,16 hours ago
Amazon will stop selling Nest smart home devices,328 points,5 days ago
"Eight Years On, Google Fiber Is a Faint Echo of the Disruption Promised",3 points,4 days ago
Assembly Programming and Colour,3 points,16 hours ago
Assembly Programming and Colour,417 points,16 hours ago
Canada to Scrap IBM Payroll Plan Gone Awry Costing $1B,123 points,7 days ago
Tracking where your time went with Lego workstream visualisation,353 points,3 days ago
Understanding word vectors,217 points,6 days ago
Machine learning algorithms used to decode and enhance human memory,11 points,5 days ago
Data Center Operating System,30 points,2 days ago
Why Const Sucks,73 points,3 days ago
In which a compiler gets its wings,84 points,3 days ago
U.S. Government Strikes Back Against Chinese Investment,25 points,1 day ago
"The virus hunter: In a bygone era, C.J. Peters learned how to bend the rules",81 points,3 days ago
SlimerJS: a replacement for PhantomJS using recent Firefox,326 points,3 days ago
Dirt Poor: Have Fruits and Vegetables Become Less Nutritious?,15 points,3 days ago
HDD vs. SSD: What Does the Future for Storage Hold?,334 points,2 days ago
NASA finds a large amount of water in an exoplanet's atmosphere,167 points,7 days ago
Gopher Reading List: A curated selection of blog posts on Go,195 points,5 days ago
Probabilistic thinking can lead to improved decision-making,89 points,6 days ago
MacPaint and QuickDraw Source Code (2010),103 points,4 days ago
Images of Los Angeles when it was covered in wetlands,15 points,4 days ago
Exxon Thinks It Can Create Biofuel from Algae at Massive Scale,9 points,1 day ago
The curious case of the query that gets slower the fewer elements it affects,101 points,2 days ago
Notes on Analytics and Tracking in Onavo Protect for iOS,5 points,2 days ago
Mastercard acquires Oltio,112 points,17 hours ago
The efforts of Edo-era doctors to figure out beriberi in Japan,13 points,3 days ago
One smart guy’s frank take on working in some of the major tech companies,11 points,1 day ago
Array.prototype.flatten not Web-compatible because of old versions of MooTools,51 points,2 days ago
Computing Types for the Internet of Things,98 points,2 days ago
The Investor Class Hates Pensions,15 points,3 days ago
“Dig Once” rule requiring fiber deployment is finally set to become US law,33 points,1 day ago
"A Preview of Bristlecone, Google’s New Quantum Processor",17 points,3 days ago
Scientists observe a new quantum particle with properties of ball lightning,37 points,3 days ago
Did plants cause one of Earth’s great extinctions?,16 points,2 days ago
"Gerald Jay Sussman on Flexible Systems, the Power of Generic Operations [video]",219 points,3 days ago
The world of Linux Handhelds in 2018,5 points,5 days ago
Single Page Apps with Vue.js and Flask: RESTful API with Flask,73 points,18 hours ago
45 year CPU evolution – one law and two equations,101 points,3 days ago
Sndio: a small audio and MIDI framework part of the OpenBSD project,219 points,4 days ago
Pandas on Ray – Make Pandas faster,76 points,5 days ago
Is Google Going Underground with Hypersonic Tech?,40 points,2 days ago
Neural network AI is simple. So… Stop pretending you are a genius,6 points,2 days ago
Khronos Group Releases Vulkan 1.1,134 points,1 day ago
"Elm, Elixir, and Phoenix: Reflecting on a Functional Full-Stack Project",422 points,3 days ago
How Inmates Play Tabletop RPGs in Prisons Where Dice Are Contraband,8 points,8 days ago
Bricklayers Think They’re Safe from Robots. Decide for Yourself,106 points,1 day ago
Roger Bannister has died,8 points,4 days ago
Show HN: I'm working on an easy way to add data to files. Thoughts?,369 points,1 day ago
Long Term Depression Permanently Changes the Brain,319 points,7 days ago
Firefox Configuration Guide for Privacy Freaks and Performance Buffs,242 points,7 days ago
What We Found When X-Raying Some MLB Baseballs,248 points,5 days ago
Doom as a tool for system administration (1999),50 points,6 days ago
"Timers, reminders, alarms – oh, my",543 points,3 days ago
The Makefile I use with JavaScript projects,10 points,8 days ago
San Francisco cabbie attacks self-driving car,81 points,1 day ago
A few things I've learned about computer networking,101 points,3 days ago
A Year Away from Mac OS,19 points,3 days ago
You Don’t Understand Bitcoin Because You Think Money Is Real,142 points,1 day ago
Show HN: Quickly build a production ready image classifier from your images,208 points,5 days ago
Let's make the Emacs GC safe and iterative,125 points,6 days ago
DEC64: Decimal Floating Point,135 points,5 days ago
DNA nanobot 'starves' tumors,17 points,5 days ago
Rendering in Camera Space(ish),36 points,3 days ago
Male and female bosses share the same “classically masculine” personality traits,11 points,5 days ago
Ask HN: Hoping to relocate to NYC. Any tips?,170 points,1 day ago
"""Sonic attack"" may have been two ultrasonic signals accidentally interfering",259 points,4 days ago
"Queryparser, an Open Source Tool for Parsing and Analyzing SQL",351 points,7 days ago
An intro to Pen Plotters,91 points,7 days ago
New Tech Centers Sprout in Europe,51 points,2 days ago
Firebase Crashlytics graduates from beta,301 points,2 days ago
"Introducing Uber Health, Removing Transportation as a Barrier to Care",330 points,7 days ago
Show HN: Graphite – A decentralized and encrypted Google Docs alternative,23 points,7 days ago
Lazarus 1.8.2 released: cross-platform GUI builder and IDE for Pascal,25 points,2 days ago
Who Threw Westmoreland Under the Bus?,90 points,2 days ago
Fear and Loathing in APL (2015),235 points,4 days ago
WebAssembly architecture for Go,129 points,6 days ago
DOSBox x86 system emulator,203 points,4 days ago
"A researcher’s tale of defeating traps, tricks, and complex virtual machines",227 points,6 days ago
"More art is being produced and sold than ever before, at ever higher prices",99 points,7 days ago
Adware vendors buy Chrome Extensions to send ad- and malware-filled updates,62 points,4 days ago
Seeking Path Back to Life,14 points,2 days ago
C++ Actor Framework,14 points,3 days ago
Lessons from Spotify,163 points,3 days ago
Google-Landmarks: A New Dataset and Challenge for Landmark Recognition,296 points,6 days ago
Make Medium Readable Again,74 points,4 days ago
"My Last Day at Moz, My First Day at SparkToro",17 points,3 days ago
Ask HN: How to deal with having a high EQ?,16 points,1 day ago
Ask HN: What is the best way to archive a webpage,39 points,1 day ago
Why Did the FBI Arrest the Hacker Who Stopped the WannaCry Attack?,12 points,2 days ago
The creator of Pepe the Frog is suing Infowars,337 points,1 day ago
Peace for Triple Piano,29 points,8 days ago
Kansas man admits to shooting Indian tech workers in bar,368 points,1 day ago
February 28th DDoS Incident Report,97 points,7 days ago
Crazy things happening in SF because of its out-of-control housing prices,217 points,2 days ago
Google's Python Class,35 points,2 days ago
A Hidden Git Feature: Notes,69 points,4 days ago
A 'Brief' History of Game AI Up to AlphaGo,195 points,4 days ago
"Show HN: Synapse, a full featured BitTorrent client in Rust",377 points,6 days ago
GDPR – A Practical Guide for Developers (2017),231 points,5 days ago
Wing Commander II,173 points,6 days ago
Nerd Sniped by BINFMT_MISC,102 points,4 days ago
APL Style: Patterns/Anti-patterns,12 points,5 days ago
Technique to see objects hidden around corners,9 points,2 days ago
Show HN: Air Miners – Index of Startups Mining Carbon Dioxide from the Air,8 points,2 days ago
Robot smashes Rubik’s Cube record with 0.38-second solve,270 points,1 day ago
How Do We Learn?,18 points,7 days ago
Does ‘Platformisation’ Redefine the Notion of the Firm?,71 points,4 days ago
German cars have the most to lose from a changing auto industry,130 points,4 days ago
Line breaking (2014),100 points,5 days ago
On journeys (2015),41 points,5 days ago
AI-Powered App Helps Physicians Spend More Time with Patients,487 points,6 days ago
Patent trolls are shaking us down for selling “rubies” in our game,134 points,6 days ago
A UI Experiment with the iPhone X’s Front-Facing Camera,255 points,4 days ago
Ask HN: Cookies vs. JWT vs. OAuth,242 points,4 days ago
Sysadmin left finger on power button for an hour to avert SAP outage,108 points,2 days ago
Clojure Don’ts: Lazy Effects (2015),136 points,5 days ago
Show HN: Get Rails performance metrics into Chrome Dev Tools,4 points,5 days ago
"I hear you, but your home is still a lousy investment",113 points,1 day ago
Ask HN: How do you keep a good posture when you spend most of your type sitting?,175 points,2 days ago
Shrinking the kernel with a hammer,9 points,6 days ago
Self-driving cars attacked by angry Californians,21 points,1 day ago
Google moves toward quantum supremacy with 72-qubit computer,331 points,2 days ago
