title,score,time
"Show HN: Buy Me A Coffee – A free, fast and friendly way to receive donations",24 points,8 days ago
Fraudsters Jailed for £37m Copycat Website Scam,52 points,2 days ago
Ruby 2.6.0 with JIT now 6x faster than Ruby 2.0.0,96 points,1 day ago
How the Irish Teach Us to Die,136 points,5 days ago
Icelandic language battles threat of 'digital extinction',281 points,6 days ago
Ask HN: Move to product management at 35?,230 points,4 days ago
Age of Empires Definitive Edition's pathing and movement,164 points,8 days ago
“We’re committing Twitter to increase the health and civility of conversation”,8 points,6 days ago
How Austin became a top city for women in tech,22 points,1 day ago
Google makes its AI and machine learning courses available to all,12 points,2 days ago
Ask HN: What stack you use for web app?,97 points,1 day ago
Hacking the Brain with Adversarial Images,52 points,6 days ago
Location-based ads are growing,28 points,4 days ago
Show HN: Legalfile – A proposal for software legal terms in a structured way,57 points,5 days ago
Show HN: A simple React table library using CSS Grid Layout,74 points,4 days ago
The Structure of “Unstructured” Decision Processes (1976) [pdf],105 points,5 days ago
K programming language (2005),55 points,6 days ago
Single Family Homes in Santa Clara County: March 2018 Report,81 points,18 hours ago
"Flying Taxis May Be Years Away, but the Groundwork Is Accelerating",23 points,5 days ago
"The Mystery of Zach, the All-Too-miraculous Medical AI",66 points,2 days ago
Kubernetes Graduates from Cloud Native Computing Foundation (CNCF),6 points,2 days ago
Underestimating Estimation,11 points,1 day ago
Show HN: Simply Auth – Add users to your Rails app in 5 minutes,137 points,3 days ago
Do neural networks dream of electric sheep?,7 points,6 days ago
Measuring the many sizes of a Git repository,7 points,2 days ago
"Elon Musk sides with Trump on trade with China, citing 25% tax on American cars",9 points,13 hours ago
Ask HN: Why does there seem to be a widespread disdain for Facebook among HN?,5 points,1 day ago
React Native for Web: Platform-Agnostic Components/APIs of React Native for Web,5 points,2 days ago
"Ask HN: Traveling to Hawaii in a couple of days, any suggestions?",87 points,1 day ago
Magic Leap Raises $461M from Saudis,30 points,1 day ago
The New ID Theft: Millions of Credit Applicants Who Don’t Exist,82 points,17 hours ago
SketchAR uses machine learning and AR to teach drawing,41 points,5 days ago
Show HN: Cloudrun – Numerical weather prediction in the cloud,141 points,6 days ago
Chrome lets hackers phish even 'Unphishable' Yubikey users,34 points,6 days ago
Third party CSS is not safe,16 points,4 days ago
"Virtual currencies are commodities, U.S. judge rules",194 points,2 days ago
Schism – A self-hosting Scheme to WebAssembly compiler,175 points,8 days ago
How Big Deals Kill Companies,329 points,7 days ago
Unnecessary medical care is harming patients physically and financially (2015),155 points,6 days ago
How we built Hamiltix.net for less than $1 a month on AWS,106 points,7 days ago
When Did Americans Stop Marrying Cousins? Ask the World’s Largest Family Tree,43 points,5 days ago
Persistent datastructures with Go,335 points,7 days ago
Teacher in Ghana has no computers so he draws Microsoft Word on the blackboard,242 points,6 days ago
The British amateur who debunked the mathematics of happiness (2014),99 points,4 days ago
Kenneth Eng Is on the Other Side of Viral Now,131 points,6 days ago
"MI5 agents can commit crime in UK, government reveals",6 points,5 days ago
Show HN: Lcef – LuaJIT FFI Bindings for Chromium Embedded Framework,162 points,3 days ago
Possible interaction between baryons and dark-matter particles revealed,212 points,8 days ago
"Triplebyte Raises $10M from Initialized Capital, Marissa Mayer and Paul Graham",122 points,8 days ago
LimeSDR Now Backed by the European Space Agency,94 points,7 days ago
Show HN: Note Kitchen – Learn piano chords and scales,8 points,6 days ago
People Are Dumb and Should Be Treated Like Morons,166 points,1 day ago
Do we need to move away from Elm?,27 points,5 days ago
Soft contact lens technology could link renewables and the grid,14 points,6 days ago
"Native to Asia, Found in New Jersey: The Curious Case of an Invasive Tick",62 points,4 days ago
Twenty Years of Number Theory (1998) [video],149 points,5 days ago
New Giant Viruses Further Blur the Definition of Life,42 points,3 days ago
The downsizing of Chinook salmon,16 points,6 days ago
One smart guy’s frank take on working in some of the major tech companies,8 points,1 day ago
Show HN: MesosticsMachine – A Java system to implement a score by John Cage,149 points,3 days ago
"Paper is dead, long live paper programming",50 points,7 days ago
How to Design a Good API and Why It Matters (2007) [video],264 points,3 days ago
Mosfet the cat 2001 – 2018,78 points,8 days ago
Keras Implementation of Alpha Zero for Chess,560 points,5 days ago
How not to run a CA,101 points,7 days ago
Burning Out: What Really Happens Inside a Crematorium,211 points,6 days ago
Decode Like It's 1999: MPEG-1 Decoder in JavaScript,8 points,8 days ago
"Show HN: Vimac, vim-like key bindings everywhere on macOS",97 points,3 days ago
Lost Causes of Theoretical Physics (2003),28 points,6 days ago
TC39 considers renaming flatten and flatMap to smoosh and smooshMap,132 points,1 day ago
The Return of Software Vulnerabilities in the Brazilian Voting Machine,98 points,6 days ago
Turning web traffic into a Super Computer,208 points,5 days ago
How much money do people need to be happy?,3 points,8 days ago
Android P Developer Preview,81 points,1 day ago
"For whom, the bell tolls",18 points,4 days ago
Conservative Publishers Hit Hardest by Facebook News Feed Change,113 points,2 days ago
"Sortix: small self-hosting OS aiming to be a clean, modern Posix implementation",23 points,6 days ago
The New 83(i) Election – Defer Tax on Your Stock Options,7 points,6 days ago
Efficiency Is an Excuse to Not Do the Actual Work,48 points,1 day ago
Learn with Google AI,5 points,8 days ago
Ask HN: Is Chromecast getting worse?,1764 points,1 day ago
Why I Quit Google to Work for Myself,139 points,8 days ago
Learning by playing,63 points,7 days ago
Satellites see big fishing’s footprint on the high seas,70 points,5 days ago
"Why plastic items in a dishwasher take longer to dry than metal,glass or ceramic",85 points,6 days ago
Facebook Reminds Publishers That It Is in Complete Control of Their Livelihood,151 points,6 days ago
Agent on Demand – Job Offer Negotiation as a Service,14 points,7 days ago
Tensor Comprehensions in PyTorch,209 points,3 days ago
Why Women Choose Differently at Work,74 points,5 days ago
Ask HN: What are you using for http load testing?,5 points,5 days ago
How to make epic pancakes with your Japanese rice cooker (2014),32 points,1 day ago
Google Unveils 72-Qubit Quantum Computer with Low Error Rates,35 points,3 days ago
The Surprising Importance of Stratospheric Life (2016),85 points,4 days ago
Large Scale NoSQL Database Migration Under Fire,94 points,5 days ago
WebKit exploit write-up,36 points,6 days ago
"Christopher Steele, the Man Behind the Dossier",122 points,2 days ago
Number of open faculty positions in CompSci exceeds candidates by a factor of 5,26 points,8 days ago
Show HN: Kubelist – Your curated weekly kubernetes news reconciliation loop,14 points,5 days ago
Show HN: A VAT API,52 points,4 days ago
Exploring the Linguistics Behind Regular Expressions,7 points,5 days ago
"Free, open source alternatives to Slack for team chat",3 points,1 day ago
"With New Juno Results, Jupiter Will Never Stop Surprising Scientists",5 points,1 day ago
Do Adult Brains Make New Neurons? A Contentious New Study Says No,52 points,1 day ago
Ask HN: Solo founder and MVP. New co-founder equity split?,57 points,7 days ago
"A self-contained, brief and complete formulation of Voevodsky's Univalence Axiom",20 points,7 days ago
Founder Stories by tlb (2007),145 points,3 days ago
The Drugging of the American Boy (2014),15 points,4 days ago
Staying Alive: The Resurgence of Pinball,19 points,4 days ago
Google Is Quietly Providing AI Technology for Drone Strike Targeting Project,152 points,2 days ago
How does `cd` work?,430 points,7 days ago
Amazon's policies promote counterfeiting,4 points,7 days ago
The Guts of a New Machine (2003),6 points,3 days ago
Show HN: Servus – Human Intelligence Blockchain,95 points,1 day ago
Some of the World's Biggest Lakes Are Drying Up,43 points,5 days ago
Saying Goodbye to Slack’s IRC and XMPP Gateways,90 points,1 day ago
Voyages in sentence space,136 points,7 days ago
Apple/swift-nio: Event-driven network framework for high perf. protocol servers,65 points,8 days ago
Slow Thought: a manifesto,8 points,6 days ago
The Blockchain Pipe Dream,16 points,3 days ago
Getting Started with Rust: Reference and Lifetime,191 points,3 days ago
Palantir deployed a predictive policing system in New Orleans,177 points,8 days ago
Wine 3.3 has Vulkan support,11 points,6 days ago
Bad iPhone notches are happening to good Android phones,4 points,2 days ago
Let's Encrypt: securing the automation of ACME DNS challenge validation,12 points,1 day ago
Show HN: SecureIT – Easy to setup cybersecurity service for free,97 points,3 days ago
New tricks for XFS: support for subvolumes,213 points,7 days ago
How 4000 Physicists Gave a Vegas Casino Its Worst Week (2015),17 points,4 days ago
In the Wake of Wakefield,107 points,7 days ago
"DoorDash raises $535M, now valued at $1.4B",28 points,7 days ago
Writing a Memoir While Grieving,81 points,7 days ago
Astranis emerges from stealth with new satellite tech for connecting the world,7 points,7 days ago
The Right to Repair Battle Has Come to Silicon Valley,91 points,1 day ago
"What Managers Need to Know About Slack, Yammer, and Chatter",4 points,4 days ago
The Essential Guide to Take-Home Coding Challenges,119 points,1 day ago
Show HN: Shiori – Simple self hosted bookmarks manager,3 points,8 days ago
The GANfather: The man who’s given machines the gift of imagination,153 points,1 day ago
Show HN: Web Scraping in Google Sheets,40 points,8 days ago
Setting up bug bounties for success,34 points,4 days ago
SEC Launches Cryptocurrency Probe,462 points,8 days ago
Spotify Form F-1,272 points,8 days ago
"Go best practices, six years in (2016)",111 points,6 days ago
Income Inequality (2016),55 points,3 days ago
Unprecedentedly wide and sharp dark matter map,117 points,5 days ago
Opposite of modern,159 points,8 days ago
Opening the code of our X-Pack features,12 points,8 days ago
The sound of SID: 35 years of chiptune's influence on electronic music,122 points,2 days ago
MIT study that found low pay for Uber drivers to be revisited,3 points,4 days ago
Rocket Lab to capitalize on test flight success with first operational mission,14 points,1 day ago
HTTP Analytics for 6M requests per second using ClickHouse,96 points,2 days ago
Silicon Valley VCs tour the Midwest,100 points,4 days ago
Why the U.S. Treasury Killed a Latvian Bank,70 points,7 days ago
Contributing to OpenMined: Summing up 3 months with the community,7 points,6 days ago
Surprise graphene discovery could unlock secrets of superconductivity,4 points,3 days ago
Elon Musk takes Donald Trump to task on US-China car trade,139 points,11 hours ago
TensorFlow Tutorials with YouTube Videos,77 points,5 days ago
Security Monkey: Monitors AWS and GCP accounts for policy changes,110 points,7 days ago
Determining the Average Apple Device Lifespan,60 points,7 days ago
A second collection of interesting links about Kubernetes,32 points,6 days ago
Node.js callbacks vs. promises vs. generators vs. async-await,264 points,4 days ago
What Happens to Us Does Not Happen to Most of You,39 points,7 days ago
Body Work: The curiously self-punishing rites of fitness culture,121 points,1 day ago
Please – A Cross-Language Build System,21 points,8 days ago
"Pressbooks: An Open Source Book CMS (webbook, EPUB, PDF)",4 points,7 days ago
"Mango Mirror, a smart mirror displaying your health, fitness, nutrition, sleep",133 points,4 days ago
Bazel can now build Haskell,17 points,8 days ago
Show HN: A Huge Collection of Fancy Cool Fonts for Free Download,49 points,4 days ago
"Blue Apron Shares Hit New Low, as Anyone Can Do “Meal Kits,” Even Walmart",103 points,3 days ago
Bandaid – Dropbox service proxy,49 points,7 days ago
Code Splitting with Vue.js and Webpack,260 points,6 days ago
"When CEOs’ Equity Is About to Vest, They Cut Investment to Boost the Stock Price",33 points,6 days ago
Launch HN: Temper (YC W18) – Get more sleep by blocking games at night,90 points,7 days ago
Time to move to C11 atomics? (2016),19 points,7 days ago
"Hikikomori, Japan's social recluses",25 points,3 days ago
InfoWars’ conspiracy theories have advertisers ditching YouTube channels,26 points,3 days ago
For Whom the Cell Trolls,74 points,7 days ago
OSS-Fuzz – Continuous Fuzzing for Open Source Software,5 points,7 days ago
"All Talk, No Bolt-Action: Gun Injuries Drop During NRA Conventions",58 points,4 days ago
Old Smartphones Are a Problem for Apple and Samsung,162 points,8 days ago
DigiCert Statement on Trustico Certificate Revocation,14 points,8 days ago
Estonia's ice roads break all normal safety rules,50 points,3 days ago
Quantitative analysis of family trees with millions of relatives (2017) [pdf],111 points,7 days ago
Language Learning for the Dispassionate,9 points,8 days ago
IoT Is Coming Even If the Security Isn't Ready,115 points,1 day ago
Scientists studying how fiber influences the microbiome,123 points,5 days ago
Money stolen by Bernie Madoff is still being found,188 points,8 days ago
KeePassXC 2.3.0 released,38 points,8 days ago
On Teams and Problem Spaces,3 points,5 days ago
Show HN: Morning Reader 3 – Curated technology and blockchain news,183 points,3 days ago
Slack client for the terminal,221 points,7 days ago
Ask HN: How to stop feeling depressed about whether you will be successful?,77 points,4 days ago
Amazon paid no US income taxes for 2017,50 points,7 days ago
I did mob programming every day for 5 months,3 points,1 day ago
‘Blockchain’ is a meaningless term,14 points,1 day ago
Ask HN: Are you a solo founder? How do you deal with stress?,14 points,2 days ago
Kali Linux now Available in the Windows Store,80 points,3 days ago
Redesigning Redux,5 points,3 days ago
No hugging: are we living through a crisis of touch?,104 points,1 day ago
Futures of distributions,12 points,8 days ago
How generics were added to .NET,9 points,6 days ago
Electric clocks in Europe have been running slow for over a month,104 points,2 days ago
Representing the Impractical and Impossible with JDK 10 “var”,112 points,4 days ago
Judge rules Seattle homeless man’s truck is a home,46 points,2 days ago
Linux from Scratch Version 8.2 released,22 points,5 days ago
Experimental support for PQC XMSS keys in OpenSSH,3 points,7 days ago
SEACOM Deploys 100Gbps Ethernet Technology in South Africa,5 points,1 day ago
React Accessibility documentation,591 points,3 days ago
Ask HN: Successful one-person online businesses?,46 points,8 days ago
"Tesla's $2.6B Musk Award Too Costly, Glass Lewis Says",15 points,3 days ago
Chinese social media platform WeChat reaches 1B accounts worldwide,176 points,3 days ago
Dropbox and Google Cloud integrations,16 points,7 days ago
Google moves toward quantum supremacy with 72-qubit computer,23 points,3 days ago
An Analysis of CEEPR’s Paper on “The Economics of Ride-Hailing”,4 points,4 days ago
Far northern permafrost may unleash carbon within decades,9 points,2 days ago
Google is helping the Pentagon build AI for drones,110 points,2 days ago
Ethereum fixes serious “eclipse” flaw,95 points,5 days ago
American using Britain’s NHS (2015),38 points,5 days ago
You’re not changing the world,51 points,2 days ago
The Smart Set: On Animal Intelligence,92 points,8 days ago
Why I hate all articles about design patterns (2016),30 points,4 days ago
"Our Favorite Elasticsearch Features, Part 2: Index Aliases",87 points,7 days ago
Technology firms as a threat to basic liberties,5 points,3 days ago
Researchers find new flaws in 4G LTE protocols,3 points,2 days ago
Google helps Pentagon analyze military drone footage,10 points,2 days ago
Ask HN: Should governments become identity providers,3 points,3 days ago
Does graph database success hang on query language?,7 points,2 days ago
How Low Can Unemployment Really Go? Economists Have No Idea,9 points,3 days ago
Show HN: Open Source Jobs – Find jobs that match your open source contributions,157 points,6 days ago
Bill Ackman Surrenders in His Five-Year War Against Herbalife,13 points,8 days ago
Peter Norvig's Pytudes,84 points,7 days ago
Dorm living for professionals comes to SF,129 points,4 days ago
Beyond React 16 by Dan Ambramov – Async Rendering and React Suspense,168 points,7 days ago
The risk of nitrites and nitrates in bacon,6 points,5 days ago
Selling young-blood transfusions to baby boomers desperate to cheat death,205 points,6 days ago
The Role of Luck in Life Success,3 points,6 days ago
Privacy Risks with Facebook’s PII-Based Targeting [pdf],59 points,5 days ago
Ask HN: How to play the politics game at your company?,16 points,8 days ago
Google’s Quantum AI Lab announces new ‘Bristlecone’ quantum processor,3 points,3 days ago
Pollution regulations help Chesapeake Bay seagrass rebound,102 points,2 days ago
Nim language v0.18.0 released,40 points,7 days ago
40 Years of Data Suggests Three Myths About Globalization,9 points,5 days ago
"Ask HN: As a dev, how do you get better at devops? Are AWS certs worth it?",47 points,3 days ago
"MNIST Handwritten digits classification using Keras, part 1",9 points,8 days ago
AI can help spot coding mistakes before they happen,9 points,3 days ago
"Trevor Baylis, inventor of the wind-up radio, obituary",6 points,3 days ago
"WeLive, the Utopian Apartment Complex That Wants to Disrupt City Living",8 points,3 days ago
XChat and HexChat: When distributions get it wrong,53 points,6 days ago
Canada begins Small Modular Reactor strategy roadmap,7 points,7 days ago
Every Insight on Investing and Business from Warren Buffett Since 1977 (Part 1),5 points,6 days ago
"Founder of Tower Records dies at 92 while drinking whiskey, watching the Oscars",6 points,3 days ago
Kenji Dreams of Sausage,26 points,3 days ago
The Afterlife of Pablo Escobar,11 points,8 days ago
Trustless Machine Learning Contracts; Evaluating ML Models on the Blockchain,8 points,6 days ago
Show HN: GitLab Workflow: VSCode extension to enrich your GitLab experience,4 points,3 days ago
Why Python's Integer Division Floors (2010),5 points,5 days ago
Nzoschke/gofaas: Go/AWS Lambda App. Go Functions-As-a-service (FaaS),25 points,6 days ago
Medium – Welcome to the internet’s first open paywall,126 points,4 days ago
U.S. Income Inequality Hits a New Threshold,4 points,7 days ago
Learn how to use AWS SES with Go lambda to send emails,23 points,2 days ago
Germany admits Russian hackers infiltrated Foreign and Defense ministries,29 points,8 days ago
Ask HN: Has anybody successfully changed their career to become a writer?,42 points,7 days ago
Random computer simulation produces wealth distribution similar to reality,164 points,7 days ago
Google Hangouts Chat,186 points,8 days ago
Washington state has passed the country’s toughest net neutrality legislation,3 points,8 days ago
Shock poll finds £999 X too expensive for happy iPhone owners,14 points,2 days ago
Show HN: We built an app to help musicians plan jam sessions with nearby people,33 points,8 days ago
BBC adapting Terry Pratchett’s iconic Discworld books for six-part TV series,31 points,7 days ago
Equifax finds an additional 2.4M Americans impacted by 2017 breach,233 points,7 days ago
"Uber and Lyft drivers' median hourly wage is just $3.37, report finds",24 points,7 days ago
Police shootings decline when the federal government gets involved,13 points,6 days ago
How to Become a Blockchain Developer: 25 Practical Advices from the Experts,60 points,3 days ago
